date,nav,cash,stock_value,option_liability,borrowed,notional_exposure,unleveraged_requirement,leveraged_requirement,available_capital,margin_utilization,n_short_puts,n_covered_calls,n_stock_names,n_active_names,cash_interest_accrued,cash_interest,financing_cost,available_liquidity,margin_liquidity,cash_liquidity
2025-02-21,56170909.772502154,-160732693.97749785,217082696.25,179092.5,160732693.97749785,217082696.25,216903603.75,43380720.75,12790189.022502154,0.7722987027572865,0,12,14,14,0.0,0.0,44024.29306422839,-160732693.97749785,12790189.022502154,-160732693.97749785
2025-02-24,53963423.20895901,-160864803.041041,214904795.0,76568.75,160864803.041041,214904795.0,214828226.25,42965645.25,10997777.958959013,0.7961994012801404,0,12,14,14,0.0,0.0,132109.06354314892,-160864803.041041,10997777.958959013,-160864803.041041
2025-02-25,54100138.16018066,-160908875.58981934,215059315.0,50301.25,160908875.58981934,215059315.0,215009013.75,43001802.75,11098335.410180658,0.7948556919148615,0,12,14,14,0.0,0.0,44072.548778367396,-160908875.58981934,11098335.410180658,-160908875.58981934
2025-02-27,54569590.85383713,-141126944.14616287,195696535.0,0.0,141126944.14616287,195696535.0,195696535.0,39139307.0,15430283.853837132,0.7172365852042644,0,0,13,13,0.0,0.0,88169.24689853114,-141126944.14616287,15430283.853837132,-141126944.14616287
2025-02-28,49066145.85620165,-140737602.89379835,190249407.5,445658.75,140737602.89379835,190249407.5,189803748.75,37960749.75,11105396.106201649,0.7736647965228759,0,9,13,13,0.0,0.0,38664.916204428184,-140737602.89379835,11105396.106201649,-140737602.89379835
2025-03-03,49719442.59223911,-140852477.4077609,191009950.0,438030.0,140852477.4077609,191009950.0,190571920.0,38114384.0,11605058.592239112,0.7665891251554259,0,9,13,13,0.0,0.0,115674.7421044918,-140852477.4077609,11605058.592239112,-140852477.4077609
2025-03-04,48742108.960375965,-140868023.53962404,190101511.25,491378.75,140868023.53962404,190101511.25,189610132.5,37922026.5,10820082.460375965,0.7780136581867649,0,9,13,13,0.0,0.0,38589.71983774271,-140868023.53962404,10820082.460375965,-140868023.53962404
2025-03-05,52913078.73132402,-140906617.51867598,194509066.25,689370.0,140906617.51867598,194509066.25,193819696.25,38763939.25,14149139.481324017,0.7325965560770165,0,9,13,13,0.0,0.0,38593.97905195179,-140906617.51867598,14149139.481324017,-140906617.51867598
2025-03-06,54847215.42857918,-140945222.07142082,196774700.0,982262.5,140945222.07142082,196774700.0,195792437.5,39158487.5,15688727.928579181,0.7139557987404357,0,9,13,13,0.0,0.0,38604.55274484274,-140945222.07142082,15688727.928579181,-140945222.07142082
2025-03-07,55309690.29924455,-140983837.20075545,197261180.0,967652.5,140983837.20075545,197261180.0,196293527.5,39258705.5,16050984.799244553,0.7097979628451511,0,9,13,13,0.0,0.0,38615.12933463584,-140983837.20075545,16050984.799244553,-140983837.20075545
2025-03-10,54829424.42277819,-141099714.3272218,196690048.75,760910.0,141099714.3272218,196690048.75,195929138.75,39185827.75,15643596.67277819,0.7146861044508931,0,9,13,13,0.0,0.0,115877.12646637435,-141099714.3272218,15643596.67277819,-141099714.3272218
2025-03-11,54991173.21679813,-141138371.78320187,197004666.25,875121.25,141138371.78320187,197004666.25,196129545.0,39225909.0,15765264.216798127,0.7133128228662283,0,9,13,13,0.0,0.0,38657.45598006077,-141138371.78320187,15765264.216798127,-141138371.78320187
2025-03-12,54294217.66973424,-141177039.83026576,196208191.25,736933.75,141177039.83026576,196208191.25,195471257.5,39094251.5,15199966.16973424,0.7200444757820443,0,9,13,13,0.0,0.0,38668.047063890925,-141177039.83026576,15199966.16973424,-141177039.83026576
2025-03-13,52897245.278684855,-141215718.47131515,194545682.5,432718.75,141215718.47131515,194545682.5,194112963.75,38822592.75,14074652.528684855,0.7339246598847693,0,9,13,13,0.0,0.0,38678.64104938788,-141215718.47131515,14074652.528684855,-141215718.47131515
2025-03-17,53673699.57693547,-141370475.42306453,195417766.25,373591.25,141370475.42306453,195417766.25,195044175.0,39008835.0,14664864.57693547,0.726777459118223,0,9,13,13,0.0,0.0,154756.95174938647,-141370475.42306453,14664864.57693547,-141370475.42306453
2025-03-18,56708924.18983325,-141409207.06016675,198745065.0,626933.75,141409207.06016675,198745065.0,198118131.25,39623626.25,17085297.939833254,0.6987194134975974,0,9,13,13,0.0,0.0,38731.63710220946,-141409207.06016675,17085297.939833254,-141409207.06016675
2025-03-19,58399905.69132361,-141447949.3086764,200873806.25,1025951.25,141447949.3086764,200873806.25,199847855.0,39969571.0,18430334.69132361,0.6844115675676207,0,9,13,13,0.0,0.0,38742.24850963472,-141447949.3086764,18430334.69132361,-141447949.3086764
2025-03-20,60842254.07849932,-141486702.17150068,203434633.75,1105677.5,141486702.17150068,203434633.75,202328956.25,40465791.25,20376462.828499317,0.6650935581346248,0,9,13,13,0.0,0.0,38752.862824294905,-141486702.17150068,20376462.828499317,-141486702.17150068
2025-03-21,61844733.09845233,-141525465.65154767,204222565.0,852366.25,141525465.65154767,204222565.0,203370198.75,40674039.75,21170693.34845233,0.6576799302415919,0,9,13,13,0.0,0.0,38763.48004698649,-141525465.65154767,21170693.34845233,-141525465.65154767
2025-03-24,63305717.0479168,-141641787.9520832,205888880.0,941375.0,141641787.9520832,205888880.0,204947505.0,40989501.0,22316216.0479168,0.6474849810006037,0,9,13,13,0.0,0.0,116322.30053551865,-141641787.9520832,22316216.0479168,-141641787.9520832
2025-03-25,62950538.57861486,-141680593.92138514,205378762.5,747630.0,141680593.92138514,205378762.5,204631132.5,40926226.5,22024312.07861486,0.6501330635780007,0,9,13,13,0.0,0.0,38805.969301940604,-141680593.92138514,22024312.07861486,-141680593.92138514
2025-03-26,62332294.47754052,-141719410.52245948,204501533.75,449828.75,141719410.52245948,204501533.75,204051705.0,40810341.0,21521953.477540523,0.6547222646312935,0,9,13,13,0.0,0.0,38816.6010743521,-141719410.52245948,21521953.477540523,-141719410.52245948
2025-03-27,62089813.87354325,-128368961.12645675,190464535.0,5760.0,128368961.12645675,190464535.0,190458775.0,38091755.0,23998058.873543248,0.6134944304645608,0,1,12,12,0.0,0.0,38827.23575957794,-128368961.12645675,23998058.873543248,-128368961.12645675
2025-03-28,59647597.86607331,-127635022.13392669,188089965.0,807345.0,127635022.13392669,188089965.0,187282620.0,37456524.0,22191073.86607331,0.6279636622433831,0,9,12,12,0.0,0.0,35169.57839081007,-127635022.13392669,22191073.86607331,-127635022.13392669
2025-04-01,58196006.08136597,-127736661.41863403,186419913.75,487246.25,127736661.41863403,186419913.75,185932667.5,37186533.5,21009472.581365973,0.6389877244841878,0,10,12,12,0.0,0.0,139873.99685909774,-127736661.41863403,21009472.581365973,-127736661.41863403
