date,symbol,event,a,b,share_multiplier,reason,shares,lots,strike,reasons,assigned_lots,assigned_shares,assigned_market_value,cash_before,cash_after,nav,margin_utilization,total_assigned_stock_exposure,sector,sector_exposure,top_sector,top_sector_exposure,cash_liquidity,margin_liquidity,remaining_liquidity,entry_day,put_retries,pending_calls,position,cancelled_orders,action,pnl,per_share
2022-09-28,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-28,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-29,COALINDIA,ASSIGNMENT_LIQUIDITY_WARNING,,,,,,,,stock_exceeds_cash_backed_capacity|negative_cash|liquidity_constraint_breached,4.0,16800.0,3593520.0,3361337.475917955,-307648.2358020451,43530526.76419795,0.2014134827151004,43838175.0,Oil Gas & Consumable Fuels,3593520.0,Information Technology,23524530.0,-307648.2358020451,34762891.76419795,-307648.2358020451,,,,,,,,
2022-09-29,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-29,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-29,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-29,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-29,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,2.0,,,,,
2022-09-30,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,,SKIP_NEW_PUT,,,,cash_liquidity,,,,,,,,,,,,,,,,,,,,True,0.0,0.0,,,,,
2022-10-03,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-03,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-03,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-06,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-06,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-06,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-07,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-07,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-07,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-10,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-10,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-10,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-11,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-11,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-11,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-12,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-12,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-12,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-13,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-13,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-13,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-14,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-14,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-14,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-17,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-17,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-17,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-18,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-18,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-18,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19,HCLTECH,dividend,,,,,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2022-10-19,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-20,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-20,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-20,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-21,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-21,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-21,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-24,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-24,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-24,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-25,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-25,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-25,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-27,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-27,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-27,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-27,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-03,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-03,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-03,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,TECHM,dividend,,,,,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,18.0
2022-11-09,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-11,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-11,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-11,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-14,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-14,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-14,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-15,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-15,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-15,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-16,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-16,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-16,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-17,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-17,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-17,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-18,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-18,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-18,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-21,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-21,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-21,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-22,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-22,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-22,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-23,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-23,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-23,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-24,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-24,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-24,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,2.0,,,,,
2022-11-25,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-25,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-29,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-29,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-02,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-02,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-05,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-05,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-06,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-06,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-07,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-08,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-08,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-15,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-15,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-16,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-16,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-19,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-19,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-20,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-20,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-21,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-21,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-22,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-22,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-23,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-23,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-26,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-28,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-28,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-29,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-29,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-29,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-29,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-29,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2022-12-30,INFY,covered_call_leftover_shares,,,,"covered 7600, uncovered 200",7800.0,19.0,1600.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30,,SKIP_NEW_PUT,,,,uncovered_assigned_shares_calls_pending,,,,,,,,,,,,,,,,,,,,True,0.0,1.0,,,,,
2023-01-02,HCLTECH,covered_call_fill_failed,,,,no_trades_t1,,14.0,1250.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,DRREDDY,covered_call_not_available,,,,calls_skipped_distance_cap,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,HCLTECH,covered_call_not_available,,,,calls_skipped_no_eligible_strike,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,TECHM,covered_call_not_available,,,,calls_skipped_no_eligible_strike,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,WIPRO,covered_call_not_available,,,,calls_skipped_no_eligible_strike,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-04,DRREDDY,covered_call_leftover_shares,,,,"covered 250, uncovered 1625",1875.0,2.0,4650.0,,,,,,,,,,,,,,,,,,,,,,,,
