symbol,company,isin,bhavcopy_symbols,first_date_in_index,last_date_in_index,trading_days_in_index,in_index_periods,currently_in_nifty50
CAIRN,,INE910H01017,CAIRN,2016-01-01,2016-03-31,61,2016-01-01..2016-03-31,False
DIVISLAB,Divi S Laboratories Ltd,INE361B01024,DIVISLAB,2020-09-25,2024-09-27,990,2020-09-25..2024-09-27,False
GAIL,Gail (India) Ltd,INE129A01019,GAIL,2016-01-01,2021-03-30,1294,2016-01-01..2021-03-30,False
HDFC,Housing Development Finance Corporation Ltd.,INE001A01036,HDFC,2016-01-01,2023-07-12,1860,2016-01-01..2023-07-12,False
HEROMOTOCO,Hero Motocorp Limited,INE158A01026,HEROMOTOCO,2016-01-01,2025-09-29,2406,2016-01-01..2025-09-29,False
HINDPETRO,Hindustan Petroleum Corp,INE094A01015,HINDPETRO,2017-09-29,2019-03-28,370,2017-09-29..2019-03-28,False
IBULHSGFIN,Sammaan Capital Limited,INE148I01020,IBULHSGFIN,2017-03-31,2019-09-26,615,2017-03-31..2019-09-26,False
IDEA,Vodafone Idea Limited,INE669E01016,IDEA,2016-01-01,2017-03-30,307,2016-01-01..2017-03-30,False
INDUSINDBK,Indusind Bank Limited,INE095A01012,INDUSINDBK,2016-01-01,2025-09-29,2406,2016-01-01..2025-09-29,False
INFRATEL,Bharti Infratel Ltd.,INE121J01017,INFRATEL,2016-04-01,2020-09-24,1107,2016-04-01..2020-09-24,False
IOC,Indian Oil Corp Ltd,INE242A01010,IOC,2017-03-31,2022-03-30,1235,2017-03-31..2022-03-30,False
LTIM,LTIMindtree Ltd.,INE214T01019,LTIM,2023-07-13,2024-09-27,298,2023-07-13..2024-09-27,False
LUPIN,Lupin Limited,INE326A01037,LUPIN,2016-01-01,2018-09-27,678,2016-01-01..2018-09-27,False
PNB,Punjab National Bank,INE160A01022,PNB,2016-01-01,2016-03-31,61,2016-01-01..2016-03-31,False
SHREECEM,Shree Cement Limited,INE070A01015,SHREECEM,2020-03-19,2022-09-29,629,2020-03-19..2022-09-29,False
TATAMTRDVR,,IN9155A01020,TATAMTRDVR,2016-04-01,2017-09-28,370,2016-04-01..2017-09-28,False
TATAPOWER,Tata Power Co Ltd,INE245A01021,TATAPOWER,2016-01-01,2017-09-28,431,2016-01-01..2017-09-28,False
UPL,Upl Limited,INE628A01036,UPL,2017-09-29,2024-03-27,1603,2017-09-29..2024-03-27,False
VEDL,Vedanta Limited,INE205A01025,VEDL,2016-01-01,2020-07-30,845,2016-01-01..2016-03-31; 2017-05-26..2020-07-30,False
YESBANK,Yes Bank Limited,INE528G01035,YESBANK,2016-01-01,2020-03-18,1038,2016-01-01..2020-03-18,False
ZEEL,Zee Entertainment Ent Ltd,INE256A01028,ZEEL,2016-01-01,2020-09-24,1168,2016-01-01..2020-09-24,False
