symbol,ex_date,dividend_per_share,status,traded_on_ex_date,isin,subject,raw_file
HINDUNILVR,2020-06-19,14.0,OK,True,INE030A01027,Annual General Meeting/Dividend - Rs 14 Per Share,data/raw/corporate_actions/nse_api/HINDUNILVR/2019-10-01_2020-09-29.json
RELIANCE,2020-07-02,6.5,OK,True,INE002A01018,Dividend - Rs 6.50 Per Share,data/raw/corporate_actions/nse_api/RELIANCE/2019-10-01_2020-09-29.json
ITC,2020-07-06,10.15,OK,True,INE154A01025,Dividend - Rs 10.15 Per Share,data/raw/corporate_actions/nse_api/ITC/2019-10-01_2020-09-29.json
JSWSTEEL,2020-07-06,2.0,OK,True,INE019A01020,Dividend - Rs 2 Per Share,data/raw/corporate_actions/nse_api/JSWSTEEL/2019-10-01_2020-09-29.json
HDFC,2020-07-09,21.0,OK,True,INE001A01028,Annual General Meeting/Dividend - Rs 21 Per Share,data/raw/corporate_actions/nse_api/HDFC/2019-10-01_2020-09-29.json
LTIM,2020-07-09,15.5,OK,False,INE214T01019,Annual General Meeting/Dividend - Rs 15.50 Per Share,data/raw/corporate_actions/nse_api/LTM/2019-10-01_2020-09-29.json
DRREDDY,2020-07-13,25.0,OK,True,INE089A01023,Annual General Meeting/Dividend - Rs 25 Per Share,data/raw/corporate_actions/nse_api/DRREDDY/2019-10-01_2020-09-29.json
M&M,2020-07-16,2.35,OK,True,INE101A01026,Annual General Meeting/Dividend - Rs 2.35 Per Share,data/raw/corporate_actions/nse_api/M&M/2019-10-01_2020-09-29.json
TCS,2020-07-16,5.0,OK,True,INE467B01029,Interim Dividend - Rs 5 Per Share,data/raw/corporate_actions/nse_api/TCS/2019-10-01_2020-09-29.json
ASIANPAINT,2020-07-23,1.5,OK,True,INE021A01018,Annual General Meeting/Dividend - Rs 1.50 Per Share,data/raw/corporate_actions/nse_api/ASIANPAINT/2019-10-01_2020-09-29.json
HCLTECH,2020-07-23,2.0,OK,True,INE860A01027,Interim Dividend - Rs 2 Per Share,data/raw/corporate_actions/nse_api/HCLTECH/2019-10-01_2020-09-29.json
TECHM,2020-07-23,5.0,OK,True,INE669C01028,Annual General Meeting/Dividend - Rs 5 Per Share,data/raw/corporate_actions/nse_api/TECHM/2019-10-01_2020-09-29.json
TRENT,2020-07-24,1.0,OK,True,INE849A01012,Annual General Meeting/Dividend - Re 1 Per Share,data/raw/corporate_actions/nse_api/TRENT/2019-10-01_2020-09-29.json
ULTRACEMCO,2020-07-29,13.0,OK,True,INE481G01011,Annual General Meeting/Dividend - Rs 13 Per Share,data/raw/corporate_actions/nse_api/ULTRACEMCO/2019-10-01_2020-09-29.json
HEROMOTOCO,2020-07-30,25.0,OK,True,INE158A01026,Annual General Meeting/Dividend - Rs 25 Per Share,data/raw/corporate_actions/nse_api/HEROMOTOCO/2019-10-01_2020-09-29.json
HINDUNILVR,2020-07-30,9.5,OK,True,INE030A01027,Special Dividend - Rs 9.50 Per Share,data/raw/corporate_actions/nse_api/HINDUNILVR/2019-10-01_2020-09-29.json
TITAN,2020-08-03,4.0,OK,True,INE280A01010,Annual General Meeting/Dividend - Rs 4 Per Share,data/raw/corporate_actions/nse_api/TITAN/2019-10-01_2020-09-29.json
INFRATEL,2020-08-05,2.3,OK,False,INE121J01017,Interim Dividend - Rs 2.30 Per Share,data/raw/corporate_actions/nse_api/INDUSTOWER/2019-10-01_2020-09-29.json
LT,2020-08-05,8.0,OK,True,INE018A01030,Annual General Meeting/Dividend - Rs 8 Per Share,data/raw/corporate_actions/nse_api/LT/2019-10-01_2020-09-29.json
BHARTIARTL,2020-08-06,2.0,OK,True,INE397D01024,Dividend - Rs 2 Per Share,data/raw/corporate_actions/nse_api/BHARTIARTL/2019-10-01_2020-09-29.json
TATASTEEL,2020-08-06,10.0,OK,True,INE081A01012,Dividend - Rs 10 Per Share,data/raw/corporate_actions/nse_api/TATASTEEL/2019-10-01_2020-09-29.json
MARUTI,2020-08-13,60.0,OK,True,INE585B01010,Dividend - Rs 60 Per Share,data/raw/corporate_actions/nse_api/MARUTI/2019-10-01_2020-09-29.json
NTPC,2020-08-13,2.65,OK,True,INE733E01010,Dividend - Rs 2.65 Per Share,data/raw/corporate_actions/nse_api/NTPC/2019-10-01_2020-09-29.json
SUNPHARMA,2020-08-19,1.0,OK,True,INE044A01028,Annual General Meeting/Dividend - Re 1 Per Share,data/raw/corporate_actions/nse_api/SUNPHARMA/2019-10-01_2020-09-29.json
UPL,2020-08-19,6.0,OK,True,INE628A01036,Dividend - Rs 6 Per Sh,data/raw/corporate_actions/nse_api/UPL/2019-10-01_2020-09-29.json
BRITANNIA,2020-08-26,83.0,OK,True,INE216A01014,Interim Dividend - Rs 83 Per Share,data/raw/corporate_actions/nse_api/BRITANNIA/2019-10-01_2020-09-29.json
GRASIM,2020-08-26,4.0,OK,True,INE047A01013,Dividend - Rs 4 Per Share,data/raw/corporate_actions/nse_api/GRASIM/2019-10-01_2020-09-29.json
POWERGRID,2020-09-02,4.04,OK,True,INE752E01010,Annual General Meeting/Dividend - Rs 4.04 Per Share,data/raw/corporate_actions/nse_api/POWERGRID/2019-10-01_2020-09-29.json
HINDALCO,2020-09-03,1.0,OK,True,INE038A01020,Annual General Meeting/Dividend - Re 1 Per Share,data/raw/corporate_actions/nse_api/HINDALCO/2019-10-01_2020-09-29.json
ZEEL,2020-09-10,0.3,OK,True,INE256A01028,Annual General Meeting/Dividend - Rs 0.30 Per Share,data/raw/corporate_actions/nse_api/ZEEL/2019-10-01_2020-09-29.json
HCLTECH,2020-09-14,2.0,OK,True,INE860A01027,Dividend - Rs 2 Per Share,data/raw/corporate_actions/nse_api/HCLTECH/2019-10-01_2020-09-29.json
BEL,2020-09-15,1.4,OK,True,INE263A01016,Annual General Meeting/Dividend - Rs 1.40 Per Share,data/raw/corporate_actions/nse_api/BEL/2019-10-01_2020-09-29.json
APOLLOHOSP,2020-09-17,2.75,OK,True,INE437A01016,Annual General Meeting/Dividend - Rs 2.75 Per Share,data/raw/corporate_actions/nse_api/APOLLOHOSP/2019-10-01_2020-09-29.json
TCS,2020-10-14,12.0,OK,True,INE467B01029,Interim Dividend - Rs 12 Per Share,data/raw/corporate_actions/nse_api/TCS/2020-09-30_2021-09-29.json
HCLTECH,2020-10-22,4.0,OK,True,INE860A01027,Interim Dividend - Rs 4 Per Share,data/raw/corporate_actions/nse_api/HCLTECH/2020-09-30_2021-09-29.json
INFY,2020-10-23,12.0,OK,True,INE009A01021,Interim Dividend - Rs 12 Per Share,data/raw/corporate_actions/nse_api/INFY/2020-09-30_2021-09-29.json
LTIM,2020-10-27,15.0,OK,False,INE214T01019,Interim Dividend -Rs 15 Per Share,data/raw/corporate_actions/nse_api/LTM/2020-09-30_2021-09-29.json
ASIANPAINT,2020-10-28,3.35,OK,True,INE021A01018,Interim Dividend - Rs 3.35 Per Share,data/raw/corporate_actions/nse_api/ASIANPAINT/2020-09-30_2021-09-29.json
HINDUNILVR,2020-10-28,14.0,OK,True,INE030A01027,Interim Dividend - Rs 14 Per Share,data/raw/corporate_actions/nse_api/HINDUNILVR/2020-09-30_2021-09-29.json
VEDL,2020-10-28,9.5,OK,True,INE205A01025,Interim Dividend - Rs 9.50 Per Share,data/raw/corporate_actions/nse_api/VEDL/2020-09-30_2021-09-29.json
NESTLEIND,2020-10-29,135.0,OK,True,INE239A01016,Interim Dividned - Rs 135 Per Share,data/raw/corporate_actions/nse_api/NESTLEIND/2020-09-30_2021-09-29.json
TECHM,2020-10-29,15.0,OK,True,INE669C01028,Special Dividend - Rs 15 Per Share,data/raw/corporate_actions/nse_api/TECHM/2020-09-30_2021-09-29.json
LT,2020-11-04,18.0,OK,True,INE018A01030,Special Dividend - Rs 18 Per Share,data/raw/corporate_actions/nse_api/LT/2020-09-30_2021-09-29.json
