symbol,api_symbol,action_type,ex_date,ratio_or_amount,adjustment_factor,affects_contract,subject,isin,source,status,notes
RELIANCE,RELIANCE,demerger,2023-07-20,,,True,Demerger,INE002A01018,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/RELIANCE/2022-09-30_2023-09-29.json,UNVERIFIED (factor),demerger (Jio Financial Services); price adjustment factor UNVERIFIED (needs the NSE F&O adjustment circular)
RELIANCE,RELIANCE,dividend,2023-08-21,Rs 9/share,,False,Dividend - Rs 9 Per Share,INE002A01018,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/RELIANCE/2022-09-30_2023-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
RELIANCE,RELIANCE,dividend,2024-08-19,Rs 10/share,,False,Dividend - Rs 10 Per Share,INE002A01018,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/RELIANCE/2023-09-30_2024-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
RELIANCE,RELIANCE,bonus,2024-10-28,1:1,2.0,True,Bonus 1:1,INE002A01018,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/RELIANCE/2024-09-29_2025-09-28.json,VERIFIED,bonus 1:1; F&O lot 250 -> 500 from the Oct-2024 contract (UDiFF NewBrdLotQty)
RELIANCE,RELIANCE,dividend,2025-08-14,Rs 5.5/share,,False,Dividend - Rs 5.5 Per Share,INE002A01018,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/RELIANCE/2024-09-29_2025-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
RELIANCE,RELIANCE,dividend,2026-06-05,Rs 6/share,,False,Dividend - Rs 6 Per Share,INE002A01018,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/RELIANCE/2025-09-29_2026-06-30.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
IBULHSGFIN,SAMMAANCAP,dividend,2019-11-18,Rs 7/share,,False,Interim Dividend - Rs 7 Per Share,INE148I01020,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SAMMAANCAP/2019-10-01_2020-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
IBULHSGFIN,SAMMAANCAP,dividend,2020-02-13,Rs 6/share,,False,Interim Dividend - Rs 6 Per Share,INE148I01020,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SAMMAANCAP/2019-10-01_2020-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
IBULHSGFIN,SAMMAANCAP,other,2020-09-03,,,False,Annual General Meeting,INE148I01020,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SAMMAANCAP/2019-10-01_2020-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
IBULHSGFIN,SAMMAANCAP,dividend,2021-05-28,Rs 9/share,,False,Interim Dividend - Rs 9 Per Share,INE148I01020,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SAMMAANCAP/2020-09-30_2021-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
IBULHSGFIN,SAMMAANCAP,other,2021-07-22,,,False,Annual General Meeting,INE148I01020,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SAMMAANCAP/2020-09-30_2021-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
IBULHSGFIN,SAMMAANCAP,other,2022-09-21,,,False,Annual General Meeting,INE148I01020,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SAMMAANCAP/2021-09-30_2022-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
IBULHSGFIN,SAMMAANCAP,dividend,2023-09-18,Rs 1.25/share,,False,Dividend - Rs 1.25 Per Share,INE148I01020,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SAMMAANCAP/2022-09-30_2023-09-29.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
IBULHSGFIN,SAMMAANCAP,rights,2024-02-01,1:2,,True,Rights 1:2 @ Premium Rs 148/-,INE148I01020,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SAMMAANCAP/2023-09-30_2024-09-28.json,UNVERIFIED (factor),rights 1:2 (as SAMMAANCAP); name was out of F&O from 2023-12-29; factor UNVERIFIED
IBULHSGFIN,SAMMAANCAP,dividend,2024-09-20,Rs 2/share,,False,Dividend - Rs 2 Per Share,INE148I01020,NSE corporate-actions API; raw data/raw/corporate_actions/nse_api/SAMMAANCAP/2023-09-30_2024-09-28.json,VERIFIED,date and underlying from the NSE corporate-actions API (source)
