folder_symbol,nse_symbol,isin,series,ex_date,record_date,subject,dividend_per_share,dividend_status,raw_file
AXISBANK,AXISBANK,INE238A01026,EQ,2023-07-07,07-Jul-2023,Dividend - Re 1 Per Share,1.0,OK,data/raw/corporate_actions/nse_api/AXISBANK/2022-09-30_2023-09-29.json
AXISBANK,AXISBANK,INE238A01026,EQ,2024-07-12,12-Jul-2024,Dividend - Re 1 Per Share,1.0,OK,data/raw/corporate_actions/nse_api/AXISBANK/2023-09-30_2024-09-28.json
AXISBANK,AXISBANK,INE238A01026,EQ,2025-07-04,04-Jul-2025,Dividend - Re 1 Per Sh,1.0,OK,data/raw/corporate_actions/nse_api/AXISBANK/2024-09-29_2025-09-28.json
AXISBANK,AXISBANK,INE238A01026,EQ,2026-07-10,10-Jul-2026,Dividend - Re 1 Per Share,1.0,OK,data/raw/corporate_actions/nse_api/AXISBANK/2025-09-29_2026-09-16.json
BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,EQ,2020-03-03,04-Mar-2020,Interim Dividend - Rs 120 Per Share,120.0,OK,data/raw/corporate_actions/nse_api/BAJAJ-AUTO/2019-10-01_2020-09-29.json
BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,EQ,2021-07-08,-,Annual General Meeting/Dividend - Rs 140 Per Share,140.0,OK,data/raw/corporate_actions/nse_api/BAJAJ-AUTO/2020-09-30_2021-09-29.json
BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,EQ,2022-06-30,01-Jul-2022,Dividend - Rs 140 Per Share,140.0,OK,data/raw/corporate_actions/nse_api/BAJAJ-AUTO/2021-09-30_2022-09-29.json
BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,EQ,2023-06-30,30-Jun-2023,Dividend - Rs 140 Per Share,140.0,OK,data/raw/corporate_actions/nse_api/BAJAJ-AUTO/2022-09-30_2023-09-29.json
BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,EQ,2024-02-29,29-Feb-2024,Buy Back,0.0,NONE,data/raw/corporate_actions/nse_api/BAJAJ-AUTO/2023-09-30_2024-09-28.json
BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,EQ,2024-06-14,14-Jun-2024,Dividend - Rs 80 Per Share,80.0,OK,data/raw/corporate_actions/nse_api/BAJAJ-AUTO/2023-09-30_2024-09-28.json
BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,EQ,2025-06-20,20-Jun-2025,Dividend - Rs 210 Per Share,210.0,OK,data/raw/corporate_actions/nse_api/BAJAJ-AUTO/2024-09-29_2025-09-28.json
BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,EQ,2026-05-29,29-May-2026,Dividend - Rs 150 Per Share,150.0,OK,data/raw/corporate_actions/nse_api/BAJAJ-AUTO/2025-09-29_2026-09-16.json
BAJAJ-AUTO,BAJAJ-AUTO,INE917I01010,EQ,2026-06-24,24-Jun-2026,Buy Back,0.0,NONE,data/raw/corporate_actions/nse_api/BAJAJ-AUTO/2025-09-29_2026-09-16.json
BAJAJFINSV,BAJAJFINSV,INE918I01018,EQ,2020-03-03,04-Mar-2020,Interim Dividend - Rs 5 Per Share,5.0,OK,data/raw/corporate_actions/nse_api/BAJAJFINSV/2019-10-01_2020-09-29.json
BAJAJFINSV,BAJAJFINSV,INE918I01018,EQ,2021-07-08,-,Annual General Meeting/Dividend - Rs 3 Per Share,3.0,OK,data/raw/corporate_actions/nse_api/BAJAJFINSV/2020-09-30_2021-09-29.json
BAJAJFINSV,BAJAJFINSV,INE918I01018,EQ,2022-06-30,01-Jul-2022,Dividend - Rs 4 Per Share,4.0,OK,data/raw/corporate_actions/nse_api/BAJAJFINSV/2021-09-30_2022-09-29.json
BAJAJFINSV,BAJAJFINSV,INE918I01018,EQ,2022-09-13,14-Sep-2022,Bonus 1:1,0.0,NONE,data/raw/corporate_actions/nse_api/BAJAJFINSV/2021-09-30_2022-09-29.json
BAJAJFINSV,BAJAJFINSV,INE918I01018,EQ,2022-09-13,14-Sep-2022,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,0.0,NONE,data/raw/corporate_actions/nse_api/BAJAJFINSV/2021-09-30_2022-09-29.json
