date,symbol,mark_value
2020-05-06,UPL,-445995.0
2020-05-06,TCS,-173000.0
2020-05-06,RELIANCE,-120125.0
2020-05-06,INFY,-159840.0
2020-05-06,COALINDIA,-294300.0
2020-05-06,HDFCBANK,-221400.0
2020-05-06,BHARTIARTL,-74410.20000000001
2020-05-07,TATASTEEL,2896425.0000000005
2020-05-07,VEDL,2474325.0
2020-05-07,ONGC,309960.0
2020-05-07,HINDALCO,2470650.0
2020-05-07,UPL,-495000.0
2020-05-07,TCS,-182300.0
2020-05-07,RELIANCE,-79000.0
2020-05-07,INFY,-161280.0
2020-05-07,COALINDIA,-344250.0
2020-05-07,HDFCBANK,-260200.0
2020-05-07,BHARTIARTL,-90328.79999999999
2020-05-08,TATASTEEL,2865449.9999999995
2020-05-08,VEDL,2438100.0
2020-05-08,ONGC,311600.0
2020-05-08,HINDALCO,2459100.0
2020-05-08,UPL,-489060.0
2020-05-08,TCS,-165800.0
2020-05-08,RELIANCE,-42250.0
2020-05-08,INFY,-124320.0
2020-05-08,COALINDIA,-360450.0
2020-05-08,HDFCBANK,-257000.0
2020-05-08,BHARTIARTL,-75520.79999999999
2020-05-11,TATASTEEL,2900100.0
2020-05-11,VEDL,2507400.0
2020-05-11,ONGC,315905.0
2020-05-11,HINDALCO,2514750.0
2020-05-11,UPL,-401445.0
2020-05-11,TCS,-120800.0
2020-05-11,RELIANCE,-32000.0
2020-05-11,INFY,-99360.0
2020-05-11,COALINDIA,-341550.0
2020-05-11,HDFCBANK,-269000.0
2020-05-11,BHARTIARTL,-52568.399999999994
2020-05-12,TATASTEEL,2876475.0
2020-05-12,VEDL,2805075.0
2020-05-12,ONGC,312830.0
2020-05-12,HINDALCO,2543100.0
2020-05-12,UPL,-400950.0
2020-05-12,TCS,-103400.0
2020-05-12,RELIANCE,-72500.0
2020-05-12,INFY,-87600.0
2020-05-12,COALINDIA,-413100.0
2020-05-12,HDFCBANK,-314400.0
2020-05-12,BHARTIARTL,-28505.4
2020-05-13,TATASTEEL,2903775.0
2020-05-13,VEDL,2842875.0
2020-05-13,ONGC,320620.0
2020-05-13,HINDALCO,2594550.0
2020-05-13,UPL,-326700.0
2020-05-13,TCS,-100600.0
2020-05-13,RELIANCE,-72500.0
2020-05-13,INFY,-80640.0
2020-05-13,COALINDIA,-283500.0
2020-05-13,HDFCBANK,-242200.0
2020-05-13,BHARTIARTL,-26654.4
2020-05-14,TATASTEEL,2819775.0
2020-05-14,VEDL,2808225.0
2020-05-14,ONGC,312215.0
2020-05-14,HINDALCO,2461200.0
2020-05-14,UPL,-307395.0
2020-05-14,TCS,-148300.0
2020-05-14,RELIANCE,-72500.0
2020-05-14,INFY,-184080.0
2020-05-14,COALINDIA,-351000.0
2020-05-14,HDFCBANK,-346400.0
2020-05-14,BHARTIARTL,-38500.8
2020-05-15,TATASTEEL,2871225.0
2020-05-15,VEDL,2927925.0
2020-05-15,ONGC,312215.0
2020-05-15,HINDALCO,2504250.0
2020-05-15,UPL,-368280.0
2020-05-15,TCS,-138800.0
2020-05-15,RELIANCE,-72500.0
2020-05-15,INFY,-193440.0
2020-05-15,COALINDIA,-307800.0
2020-05-15,HDFCBANK,-355400.0
2020-05-15,BHARTIARTL,-24433.199999999997
2020-05-18,TATASTEEL,2799300.0000000005
2020-05-18,VEDL,2913750.0
2020-05-18,ONGC,298890.0
2020-05-18,HINDALCO,2422350.0
2020-05-18,UPL,-369765.0
2020-05-18,TCS,-90300.0
2020-05-18,RELIANCE,-72500.0
2020-05-18,INFY,-147360.0
2020-05-18,COALINDIA,-517049.99999999994
2020-05-18,HDFCBANK,-538400.0
2020-05-18,BHARTIARTL,-32577.600000000002
2020-05-19,TATASTEEL,2856000.0
2020-05-19,VEDL,2835000.0
2020-05-19,ONGC,316315.0
2020-05-19,HINDALCO,2463300.0
2020-05-19,UPL,-642015.0
2020-05-19,TCS,-67900.0
2020-05-19,RELIANCE,-72500.0
2020-05-19,INFY,-105600.0
2020-05-19,COALINDIA,-454950.00000000006
2020-05-19,HDFCBANK,-545800.0
2020-05-19,BHARTIARTL,-8514.599999999999
2020-05-20,TATASTEEL,2973600.0
2020-05-20,VEDL,2789325.0
2020-05-20,ONGC,319800.0
2020-05-20,HINDALCO,2536800.0
2020-05-20,UPL,-469260.0
2020-05-20,TCS,-52300.0
2020-05-20,RELIANCE,-72500.0
2020-05-20,INFY,-93600.0
2020-05-20,COALINDIA,-427950.0
2020-05-20,HDFCBANK,-404400.0
2020-05-20,BHARTIARTL,-4442.4
2020-05-21,TATASTEEL,2978850.0
2020-05-21,VEDL,2841300.0
2020-05-21,ONGC,315700.0
2020-05-21,HINDALCO,2719500.0
2020-05-21,UPL,-379170.0
2020-05-21,TCS,-24200.0
2020-05-21,RELIANCE,-72500.0
2020-05-21,INFY,-80400.0
2020-05-21,COALINDIA,-421200.0
2020-05-21,HDFCBANK,-423200.0
2020-05-21,BHARTIARTL,-2221.2
2020-05-22,TATASTEEL,2881725.0
2020-05-22,VEDL,2806650.0
2020-05-22,ONGC,312215.0
2020-05-22,HINDALCO,2621850.0
2020-05-22,UPL,-212850.0
2020-05-22,TCS,-8300.0
2020-05-22,RELIANCE,-72500.0
2020-05-22,INFY,-29040.0
2020-05-22,COALINDIA,-419850.0
2020-05-22,HDFCBANK,-515200.00000000006
2020-05-22,BHARTIARTL,-740.4000000000001
2020-05-26,TATASTEEL,2944725.0
2020-05-26,VEDL,2768850.0
2020-05-26,ONGC,315700.0
2020-05-26,HINDALCO,2711100.0
2020-05-26,UPL,-346995.0
2020-05-26,TCS,-24600.0
2020-05-26,RELIANCE,-72500.0
2020-05-26,INFY,-33120.0
2020-05-26,COALINDIA,-340200.0
2020-05-26,HDFCBANK,-427800.0
2020-05-26,BHARTIARTL,-1110.6
2020-05-27,TATASTEEL,3023475.0
2020-05-27,VEDL,2768850.0
2020-05-27,ONGC,319595.0
2020-05-27,HINDALCO,2799300.0000000005
2020-05-27,UPL,-149490.0
2020-05-27,TCS,-1500.0
2020-05-27,RELIANCE,-72500.0
2020-05-27,INFY,-2160.0
2020-05-27,COALINDIA,-256500.0
2020-05-27,HDFCBANK,-278200.0
2020-05-27,BHARTIARTL,-370.20000000000005
2020-05-28,TATASTEEL,3102750.0
2020-05-28,VEDL,2833425.0
2020-05-28,ONGC,323285.0
2020-05-28,HINDALCO,2906400.0
2020-05-28,COALINDIA,3615300.0
2020-05-28,HDFCBANK,3781000.0
2020-05-29,TATASTEEL,3099600.0
2020-05-29,VEDL,2904300.0
2020-05-29,ONGC,341120.0
2020-05-29,HINDALCO,2915850.0
2020-05-29,COALINDIA,3658500.0000000005
2020-05-29,HDFCBANK,3703600.0
2020-06-01,TATASTEEL,3309600.0
2020-06-01,VEDL,2949975.0
2020-06-01,ONGC,344195.0
2020-06-01,HINDALCO,2922150.0
2020-06-01,COALINDIA,3700350.0000000005
2020-06-01,HDFCBANK,3778400.0
2020-06-01,HEROMOTOCO,-140580.0
2020-06-01,ADANIPORTS,-23250.0
2020-06-02,TATASTEEL,3353699.9999999995
2020-06-02,VEDL,3052350.0
2020-06-02,ONGC,345630.0
2020-06-02,HINDALCO,2964150.0
2020-06-02,COALINDIA,3645000.0
2020-06-02,HDFCBANK,3798400.0
2020-06-02,HEROMOTOCO,-150210.0
2020-06-02,ADANIPORTS,-18000.0
2020-06-03,TATASTEEL,3332699.9999999995
2020-06-03,VEDL,3046050.0
2020-06-03,ONGC,353830.0
2020-06-03,HINDALCO,3010350.0
2020-06-03,COALINDIA,3620699.9999999995
2020-06-03,HDFCBANK,3829800.0
2020-06-03,HEROMOTOCO,-154710.0
2020-06-03,ADANIPORTS,-17250.0
2020-06-04,TATASTEEL,3359475.0
2020-06-04,VEDL,3288600.0
2020-06-04,ONGC,348090.0
2020-06-04,HINDALCO,2995650.0
2020-06-04,COALINDIA,3618000.0
2020-06-04,HDFCBANK,3799800.0
2020-06-04,HEROMOTOCO,-132030.0
2020-06-04,ADANIPORTS,-18000.0
2020-06-05,TATASTEEL,3558975.0
2020-06-05,VEDL,3316950.0
2020-06-05,ONGC,356495.0
2020-06-05,HINDALCO,3134250.0
