date,symbol,kind,amount
2020-10-30,TATAMOTORS,premium,153387.0
2020-10-30,TATAMOTORS,option_sale_costs,-190.88232833
2020-10-30,TATASTEEL,premium,39034.380000000005
2020-10-30,TATASTEEL,option_sale_costs,-66.1705044842
2020-11-02,,cash_interest,2375.9397971772282
2020-11-02,KOTAKBANK,premium,55575.0
2020-11-02,KOTAKBANK,option_sale_costs,-84.20953925
2020-11-02,ASIANPAINT,premium,46068.75
2020-11-02,ASIANPAINT,option_sale_costs,-73.84211806249999
2020-11-02,BHARTIARTL,premium,33206.94
2020-11-02,BHARTIARTL,option_sale_costs,-59.815156694600006
2020-11-03,,cash_interest,755.2881341502296
2020-11-04,,cash_interest,755.3513626307913
2020-11-05,,cash_interest,755.4145964044864
2020-11-06,,cash_interest,755.4778354717578
2020-11-06,HINDALCO,premium,30315.0
2020-11-06,HINDALCO,option_sale_costs,-56.66123585
2020-11-09,,cash_interest,2274.222414030867
2020-11-10,,cash_interest,758.2645231377619
2020-11-11,,cash_interest,758.3280007848929
2020-11-12,,cash_interest,758.3914837460163
2020-11-13,,cash_interest,758.4549720215766
2020-11-17,,cash_interest,3034.0738624480746
2020-11-18,,cash_interest,758.7724612350939
2020-11-19,,cash_interest,758.8359814039499
2020-11-20,,cash_interest,758.8995068903574
2020-11-23,,cash_interest,2276.8891130842862
2020-11-24,,cash_interest,759.1536460633022
2020-11-25,,cash_interest,759.2171981428108
2020-11-26,,cash_interest,759.2807555425427
2020-11-26,HINDALCO,call_away_receive_strike,2644500.0
2020-11-26,HINDALCO,call_away_costs,-11731.644268900001
2020-11-26,M&M,call_away_receive_strike,3416000.0
2020-11-26,M&M,call_away_costs,-16132.166964
2020-11-26,SUNPHARMA,call_away_receive_strike,2744000.0
2020-11-26,SUNPHARMA,call_away_costs,-11335.8346568
2020-11-26,TATAMOTORS,call_away_receive_strike,3135000.0
2020-11-26,TATAMOTORS,call_away_costs,-15665.602285
2020-11-26,TATASTEEL,call_away_receive_strike,2295000.0
2020-11-26,TATASTEEL,call_away_costs,-11467.468315600001
2020-11-27,,cash_interest,1945.4237086002074
2020-11-27,HINDALCO,equity_sale,248860.5075
2020-11-27,HINDALCO,equity_sale_costs,-273.89113566205
2020-11-27,TATASTEEL,equity_sale,519355.1925
2020-11-27,TATASTEEL,equity_sale_costs,-554.9188836959501
2020-11-27,BAJFINANCE,premium,97109.99999999999
2020-11-27,BAJFINANCE,option_sale_costs,-129.50719489999997
2020-11-27,JSWSTEEL,premium,86872.5
2020-11-27,JSWSTEEL,option_sale_costs,-118.34227977500001
2020-11-27,ADANIPORTS,premium,75318.75
2020-11-27,ADANIPORTS,option_sale_costs,-105.74187556250001
2020-11-27,INDUSINDBK,premium,118950.0
2020-11-27,INDUSINDBK,option_sale_costs,-153.32568049999998
2020-11-27,KOTAKBANK,premium,78682.4
2020-11-27,KOTAKBANK,option_sale_costs,-109.410238616
2020-11-27,SBIN,premium,109687.5
2020-11-27,SBIN,option_sale_costs,-143.224090625
2020-11-27,HDFCBANK,premium,34641.64
2020-11-27,HDFCBANK,option_sale_costs,-61.379826167599994
2020-11-27,ITC,premium,48960.0
2020-11-27,ITC,option_sale_costs,-76.9952864
2020-11-27,AXISBANK,premium,104130.0
2020-11-27,AXISBANK,option_sale_costs,-137.1631367
2020-11-27,DIVISLAB,premium,62790.0
2020-11-27,DIVISLAB,option_sale_costs,-92.0781461
2020-12-01,,cash_interest,8312.560535150551
2020-12-02,,cash_interest,2107.9036267307783
2020-12-03,,cash_interest,2108.0825559857567
2020-12-04,,cash_interest,2108.2615004291324
2020-12-07,,cash_interest,6325.321380186583
2020-12-08,,cash_interest,2108.9773845343107
2020-12-09,,cash_interest,2109.1564049351464
2020-12-10,,cash_interest,2109.3354405321165
2020-12-11,,cash_interest,2109.5144913265112
2020-12-14,,cash_interest,6329.08067195886
2020-12-15,,cash_interest,2110.2308008989608
2020-12-16,,cash_interest,2110.4099276959587
2020-12-17,,cash_interest,2110.589069698123
2020-12-18,,cash_interest,2110.768226906743
2020-12-21,,cash_interest,6332.842197969333
2020-12-22,,cash_interest,2111.4849621993294
2020-12-23,,cash_interest,2111.664195455723
2020-12-24,,cash_interest,2111.8434439263197
2020-12-28,,cash_interest,8448.090830449642
2020-12-29,,cash_interest,2112.739823223917
2020-12-30,,cash_interest,2112.9191629991033
2020-12-31,,cash_interest,2113.0985179975337
2021-01-01,,cash_interest,2113.2778882205016
2021-01-01,ASIANPAINT,premium,43816.560000000005
2021-01-01,ASIANPAINT,option_sale_costs,-72.93700839440001
2021-01-01,TITAN,premium,61753.950000000004
