decision_date,ranking_date,selected,n_selected
2024-04-25,2024-04-25,"HINDALCO,SBIN,EICHERMOT,AXISBANK,JSWSTEEL,BHARTIARTL,DRREDDY,TATASTEEL,NTPC,POWERGRID,DIVISLAB,M&M,GRASIM,ITC,ONGC,COALINDIA,MARUTI,NESTLEIND,HEROMOTOCO,ICICIBANK",20
2024-05-31,2024-05-30,"DIVISLAB,HINDALCO,HEROMOTOCO,BHARTIARTL,M&M,LT,AXISBANK,EICHERMOT,HDFCBANK,COALINDIA,BRITANNIA,CIPLA,SBIN,ADANIENT",14
2024-06-27,2024-06-27,"ULTRACEMCO,SHRIRAMFIN,GRASIM,WIPRO,BHARTIARTL,AXISBANK,NTPC,ICICIBANK,ADANIPORTS,INFY,KOTAKBANK,RELIANCE,TECHM,DRREDDY,HDFCBANK,M&M,JSWSTEEL,POWERGRID,TCS,HCLTECH",20
2024-07-29,2024-07-25,"ONGC,TATAMOTORS,HDFCLIFE,SBILIFE,BPCL,SUNPHARMA,INFY,ITC,TECHM,TCS,DRREDDY,TATACONSUM,NTPC,HCLTECH,HINDUNILVR,GRASIM,TITAN,BRITANNIA,DIVISLAB,COALINDIA",20
2024-08-30,2024-08-29,"BAJAJFINSV,BAJAJ-AUTO,BPCL,HCLTECH,TATAMOTORS,BHARTIARTL,BAJFINANCE,WIPRO,TECHM,SBILIFE,SHRIRAMFIN,HDFCLIFE,INFY,HINDALCO,DIVISLAB,APOLLOHOSP,SUNPHARMA,CIPLA,BRITANNIA,RELIANCE",20
2024-09-27,2024-09-26,"M&M,BAJAJ-AUTO,MARUTI,TATASTEEL,SHRIRAMFIN,BAJAJFINSV,HINDALCO,POWERGRID,BHARTIARTL,NESTLEIND,BAJFINANCE,JSWSTEEL,ULTRACEMCO,AXISBANK,SUNPHARMA,HDFCBANK,NTPC,HINDUNILVR,GRASIM,ICICIBANK",20
2024-11-04,2024-10-31,"LT,EICHERMOT,CIPLA,SBIN,BEL,GRASIM,HDFCBANK,ICICIBANK",8
2024-11-29,2024-11-28,"BEL,SBIN,HDFCBANK,POWERGRID,LT,SHRIRAMFIN",6
2024-12-27,2024-12-26,"DRREDDY,ADANIPORTS,SUNPHARMA,TRENT,CIPLA,ITC",6
2025-02-03,2025-01-30,"BAJFINANCE,BEL,JSWSTEEL,ULTRACEMCO,GRASIM,BRITANNIA,WIPRO,HDFCLIFE,HEROMOTOCO,HINDUNILVR,BHARTIARTL,KOTAKBANK,NESTLEIND,BAJAJ-AUTO,SBILIFE,ICICIBANK,M&M,CIPLA,COALINDIA,TATACONSUM",20
2025-02-28,2025-02-27,"SHRIRAMFIN,BAJAJFINSV,BAJFINANCE,TATASTEEL,NESTLEIND,HINDALCO,JSWSTEEL,AXISBANK",8
2025-04-01,2025-03-27,"NTPC,BAJAJFINSV,SHRIRAMFIN,ULTRACEMCO,BEL,TRENT,LT,ADANIPORTS,HDFCLIFE,BPCL,GRASIM,POWERGRID,ADANIENT,KOTAKBANK,SBILIFE,BAJFINANCE,HEROMOTOCO,HDFCBANK,AXISBANK,SBIN",20
2025-04-25,2025-04-24,"JIOFIN,TATACONSUM,INDUSINDBK,M&M,BAJAJFINSV,HCLTECH,AXISBANK,ULTRACEMCO,HEROMOTOCO,TITAN,ETERNAL,TATAMOTORS,TECHM,SUNPHARMA,CIPLA,DRREDDY,POWERGRID,BEL,SHRIRAMFIN,APOLLOHOSP",20
2025-05-30,2025-05-29,"BEL,ADANIPORTS,JIOFIN,TATASTEEL,BAJAJ-AUTO,SBILIFE,TRENT,INDUSINDBK,HEROMOTOCO,HDFCLIFE,LT,TECHM,ADANIENT,TATAMOTORS,TITAN,HCLTECH,AXISBANK,ICICIBANK,DRREDDY,INFY",20
2025-06-27,2025-06-26,"JIOFIN,BHARTIARTL,GRASIM,ETERNAL,SHRIRAMFIN,HINDALCO,TATASTEEL,TITAN,TATACONSUM,TRENT,HDFCLIFE,ULTRACEMCO,RELIANCE,HDFCBANK,ADANIENT,BAJFINANCE,M&M,SBILIFE,JSWSTEEL,BAJAJFINSV",20
2025-08-01,2025-07-31,"ETERNAL,HINDUNILVR,JIOFIN,APOLLOHOSP,JSWSTEEL,LT,CIPLA,ICICIBANK",8
2025-08-29,2025-08-28,"MARUTI,HEROMOTOCO,EICHERMOT,TITAN,HINDUNILVR,BAJAJ-AUTO,CIPLA",7
2025-10-01,2025-09-30,"SBIN,HINDALCO,EICHERMOT,MARUTI,TATACONSUM,JSWSTEEL,BAJFINANCE,BEL,ADANIPORTS",9
2025-10-29,2025-10-28,"HINDALCO,SHRIRAMFIN,TATASTEEL,SBILIFE,SBIN,LT,RELIANCE,BHARTIARTL,JSWSTEEL,AXISBANK,TITAN,GRASIM,ASIANPAINT,DRREDDY,BAJFINANCE,NESTLEIND,HCLTECH,HDFCBANK,ITC,TATACONSUM",20
2025-11-26,2025-11-25,"SHRIRAMFIN,ASIANPAINT,TECHM,SBIN,EICHERMOT,SBILIFE,BHARTIARTL,RELIANCE,BAJAJ-AUTO,AXISBANK",10
2025-12-31,2025-12-30,"SHRIRAMFIN,HINDALCO,TATASTEEL,BAJAJ-AUTO,COALINDIA,GRASIM,BAJAJFINSV,TITAN,MARUTI,TMPV,M&M,SBILIFE,JSWSTEEL,NESTLEIND",14
2026-01-27,2026-01-27,"TECHM,JSWSTEEL,TATASTEEL,HINDALCO,AXISBANK,GRASIM,ULTRACEMCO,SBIN,INFY,ONGC,HCLTECH,NTPC,BEL,TATACONSUM,SHRIRAMFIN,BAJAJ-AUTO,COALINDIA,DRREDDY,HINDUNILVR,NESTLEIND",20
2026-02-25,2026-02-24,"NTPC,SBIN,POWERGRID,ONGC,APOLLOHOSP,TATASTEEL,ADANIPORTS,COALINDIA,MAXHEALTH,TITAN,EICHERMOT,JSWSTEEL,BAJFINANCE,DRREDDY,AXISBANK,HDFCLIFE,SHRIRAMFIN,TATACONSUM,NESTLEIND,SBILIFE",20
2026-04-01,2026-03-30,"ONGC,TECHM",2
2026-04-29,2026-04-28,"ADANIENT,NESTLEIND,ONGC,ADANIPORTS,HINDALCO,ETERNAL,DRREDDY,COALINDIA,TRENT,JSWSTEEL,TATASTEEL,RELIANCE,CIPLA,SUNPHARMA,JIOFIN,NTPC,POWERGRID,LT,BHARTIARTL,HINDUNILVR",20
2026-05-29,2026-05-26,"ADANIENT,TMPV,GRASIM,ADANIPORTS,HINDALCO,CIPLA,EICHERMOT,BAJAJ-AUTO,TECHM,ETERNAL,ASIANPAINT,LT,INDIGO,BAJAJFINSV,APOLLOHOSP,AXISBANK,DRREDDY,KOTAKBANK,JSWSTEEL,HDFCLIFE",20
