symbol,total_pnl,premium,option_pnl,stock_pnl,costs,cycles,assignments,assignment_rate,capital_days_share,pnl_share_of_total
UPL,405578.2783109635,406106.35,406106.35,0.0,528.0716890365,3,0,0.0,0.002863138913054053,0.02213290984342185
NTPC,464515.81754462083,758124.6,717024.5999999999,-240899.99999999985,11608.782455379202,9,1,0.1111111111111111,0.020819877878665922,0.025349204482484164
LT,538071.1293340321,538993.3200000001,538993.3200000001,0.0,922.190665967905,11,0,0.0,0.012463753849593381,0.02936320910600499
HDFCBANK,563991.8080403911,564761.905,564761.905,0.0,770.0969596089,6,0,0.0,0.006905312680837465,0.03077773270247897
SUNPHARMA,579475.4209422048,891601.97,581011.9699999996,0.0,1536.5490577948,12,0,0.0,0.018304117480203733,0.03162269266885945
BPCL,605688.7196958268,785923.56,606913.5599999998,0.0,1224.8403041732001,6,0,0.0,0.010043346550474761,0.033053184904362674
ONGC,620916.5992625781,574032.2475,522552.2475,107249.77500000005,8885.423237422001,6,1,0.16666666666666666,0.009973704143778203,0.03388418918536359
EICHERMOT,651039.4696361154,858840.085,652357.5850000002,0.0,1318.11536388479,6,0,0.0,0.007218800445229559,0.03552803159472312
ITC,661404.7222152704,662317.4400000001,662317.4400000001,0.0,912.7177847296,7,0,0.0,0.010179784182715106,0.03609367628800928
RELIANCE,662101.0500235398,808336.7,572936.6999999997,102200.00000000004,13035.64997645985,9,1,0.1111111111111111,0.01006131121228563,0.03613167576043191
INDUSINDBK,690784.3598548244,1525473.35,435258.3499999996,309015.0000000004,53488.9901451757,9,1,0.1111111111111111,0.012629609917446449,0.037696959564955605
TATASTEEL,695414.5526330902,2801890.08,700450.0800000008,0.0,5035.5273669105,23,0,0.0,0.030272192537236498,0.03794963492948893
BAJAJ-AUTO,704901.1885577817,1670666.01,-2375883.9900000016,3249902.6056250017,169117.42706721812,11,2,0.18181818181818182,0.0681895634594987,0.03846733242185212
DIVISLAB,708221.9157905402,1068807.925,399057.9250000003,344229.48000000103,35065.48920946121,6,1,0.16666666666666666,0.011705967930829252,0.03864854862692927
TCS,745902.986185259,332747.9325,-329772.06749999936,1142519.9999999993,66844.94631474085,5,1,0.2,0.005744851623646285,0.040704851388810685
AXISBANK,772485.8560065764,1483701.7175,-251143.2824999987,1138499.999999998,114870.86149342282,13,1,0.07692307692307693,0.024992458676629845,0.04215551157600034
TATACONSUM,841478.9176971379,860193.63,-401066.3699999987,1337984.9999999986,95439.71230286208,6,1,0.16666666666666666,0.015935353056437368,0.04592054855129922
COALINDIA,893748.5008458847,1683018.82,-677681.1800000005,1689465.33,118035.649154115,6,3,0.5,0.014049175361979386,0.04877296455395668
ADANIPORTS,909633.3156060472,1722235.98,-75959.02000000037,1045625.0,60032.6643939524,10,1,0.1,0.018374448110992956,0.049639818603513484
VEDL,913781.43974799,1012738.5,915088.5,0.0,1307.06025201,5,0,0.0,0.0035350793904121466,0.04986618688446602
DRREDDY,964050.6423734943,1257305.0125,-437913.737499999,1544281.249999999,142316.87012650576,8,2,0.25,0.02823200164094908,0.052609439640122574
ADANIENT,1148532.3151250097,1150236.1056,1150236.1056,0.0,1703.7904749903305,5,0,0.0,0.006717941288603851,0.06267683340632016
HDFCLIFE,1293448.4420906245,1316848.17,1007748.1699999998,348700.0000000005,62999.7279093758,6,1,0.16666666666666666,0.04872296883876954,0.07058508625049405
BHARTIARTL,1398561.4517878501,1557835.8315,607147.931499999,858235.4695000002,66821.94921214908,17,1,0.058823529411764705,0.031690010519921125,0.07632123360209282
CIPLA,1793692.5361003063,1040541.19,162131.18999999834,1752660.0000000016,121098.6538996937,7,2,0.2857142857142857,0.024103852972906677,0.09788402710731074
HEROMOTOCO,1937458.5546453467,1121276.76,-688023.240000001,2709300.000000001,83818.20535465296,9,1,0.1111111111111111,0.015464868613345258,0.10572951710804848
SHRIRAMFIN,2223075.7078901925,2084900.295,-897545.955000001,3337346.250000002,216724.587109808,6,2,0.3333333333333333,0.03805715620482134,0.1213159995223166
M&M,2392593.1623626617,2575651.6625,-1788813.3375,4394985.000000001,213578.5001373391,13,3,0.23076923076923078,0.028186295494000053,0.13056677733110467
HINDALCO,2497281.596774537,2624257.5725000002,-904147.4274999991,3637779.934999998,236350.91072546205,17,4,0.23529411764705882,0.041017518312932336,0.13627975508261653
JSWSTEEL,3787006.233638886,3107255.5949999997,1707238.0950000014,2269282.499999999,189514.36136111405,16,2,0.125,0.03173775949955234,0.20666162866183327
