symbol,cycle_id,cycle_status,end,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,shares_held_at_end,ledger_shares_open,call_covered_at_end,uncovered_at_end,max_uncovered_at_call,residual_after_call_away,status
BHARTIARTL,496,completed,2025-10-28,2375,0,2375,0,0,0,0,0,0,0,FLAT
SHRIRAMFIN,499,completed,2025-10-28,7425,0,7425,0,0,0,0,0,0,0,FLAT
TITAN,502,completed,2025-08-28,1400,0,1400,0,0,0,0,0,0,0,FLAT
HDFCLIFE,504,open,,5500,0,0,0,5500,5500,0,5500,0,0,OPEN_AT_END
ADANIENT,507,completed,2026-05-26,1500,45,1545,0,0,0,0,0,927,0,FLAT
JIOFIN,510,open,,14100,0,0,0,14100,14100,0,14100,4700,0,OPEN_AT_END
HINDALCO,517,completed,2025-12-30,5600,0,5600,0,0,0,0,0,0,0,FLAT
TATASTEEL,519,completed,2026-01-27,27500,0,27500,0,0,0,0,0,0,0,FLAT
JSWSTEEL,524,completed,2026-01-27,4050,0,4050,0,0,0,0,0,0,0,FLAT
GRASIM,527,completed,2025-12-30,1500,0,1500,0,0,0,0,0,0,0,FLAT
ASIANPAINT,529,open,,1750,0,0,0,1750,1750,0,1750,750,0,OPEN_AT_END
TATASTEEL,550,completed,2026-04-28,22000,0,22000,0,0,0,0,0,0,0,FLAT
MAXHEALTH,553,completed,2026-06-30,4725,0,4725,0,0,0,0,0,2625,0,FLAT
TITAN,554,completed,2026-04-28,350,0,350,0,0,0,0,0,0,0,FLAT
COALINDIA,562,open,,10800,0,0,0,10800,10800,0,10800,0,0,OPEN_AT_END
TMPV,567,open,,13600,0,0,0,13600,13600,0,13600,0,0,OPEN_AT_END
EICHERMOT,572,open,,700,0,0,0,700,700,0,700,0,0,OPEN_AT_END
BAJAJ-AUTO,573,open,,450,0,0,0,450,450,0,450,0,0,OPEN_AT_END
